Data/Hora: 2022-04-22 12:39:50,045 | level: INFO | mensagem: Listening...
Data/Hora: 2022-04-22 12:40:37,612 | level: INFO | mensagem: new email
Data/Hora: 2022-04-22 12:40:37,613 | level: INFO | mensagem: calling to 5521977252819...
Data/Hora: 2022-04-22 12:40:39,684 | level: INFO | mensagem: success, call id: 249200727
Data/Hora: 2022-04-22 12:40:39,684 | level: INFO | mensagem: waiting for response...
Data/Hora: 2022-04-22 12:41:14,859 | level: INFO | mensagem: accepted request
Data/Hora: 2022-04-22 12:42:02,110 | level: INFO | mensagem: new email
Data/Hora: 2022-04-22 12:42:02,110 | level: INFO | mensagem: calling to 5521977252819...
Data/Hora: 2022-04-22 12:42:02,356 | level: INFO | mensagem: success, call id: 249201323
Data/Hora: 2022-04-22 12:42:02,356 | level: INFO | mensagem: waiting for response...
Data/Hora: 2022-04-22 12:42:37,768 | level: INFO | mensagem: not accepted request
Data/Hora: 2022-04-22 12:42:37,768 | level: INFO | mensagem: calling to 5521977252819...
Data/Hora: 2022-04-22 12:42:38,133 | level: INFO | mensagem: success, call id: 249201533
Data/Hora: 2022-04-22 12:42:38,133 | level: INFO | mensagem: waiting for response...
Data/Hora: 2022-04-22 12:43:14,884 | level: INFO | mensagem: accepted request
Data/Hora: 2022-04-22 12:44:32,405 | level: INFO | mensagem: new email
Data/Hora: 2022-04-22 12:44:32,405 | level: INFO | mensagem: calling to 5521977252819...
Data/Hora: 2022-04-22 12:44:32,623 | level: INFO | mensagem: success, call id: 249201912
Data/Hora: 2022-04-22 12:44:32,623 | level: INFO | mensagem: waiting for response...
Data/Hora: 2022-04-22 12:45:07,783 | level: INFO | mensagem: not received
Data/Hora: 2022-04-22 12:45:07,783 | level: INFO | mensagem: retrying...
Data/Hora: 2022-04-22 12:45:07,783 | level: INFO | mensagem: calling to 5521977252819...
Data/Hora: 2022-04-22 12:45:07,979 | level: INFO | mensagem: success, call id: 249202036
Data/Hora: 2022-04-22 12:45:07,979 | level: INFO | mensagem: waiting for response...
Data/Hora: 2022-04-22 12:45:43,137 | level: INFO | mensagem: not received
Data/Hora: 2022-04-22 12:45:43,137 | level: INFO | mensagem: retrying...
Data/Hora: 2022-04-22 12:45:43,137 | level: INFO | mensagem: calling to 5521977252819...
Data/Hora: 2022-04-22 12:45:43,372 | level: INFO | mensagem: success, call id: 249202152
Data/Hora: 2022-04-22 12:45:43,372 | level: INFO | mensagem: waiting for response...
Data/Hora: 2022-04-22 12:46:18,544 | level: INFO | mensagem: not received
Data/Hora: 2022-04-22 12:46:18,544 | level: INFO | mensagem: retrying...
Data/Hora: 2022-04-22 12:46:18,544 | level: INFO | mensagem: calling to 5521977252819...
Data/Hora: 2022-04-22 12:46:18,745 | level: INFO | mensagem: success, call id: 249202310
Data/Hora: 2022-04-22 12:46:18,745 | level: INFO | mensagem: waiting for response...
Data/Hora: 2022-04-22 12:46:53,918 | level: INFO | mensagem: not received
Data/Hora: 2022-04-22 12:46:53,918 | level: INFO | mensagem: retrying...
Data/Hora: 2022-04-22 12:46:53,918 | level: INFO | mensagem: calling to 5521977252819...
Data/Hora: 2022-04-22 12:46:54,214 | level: INFO | mensagem: success, call id: 249202382
Data/Hora: 2022-04-22 12:46:54,214 | level: INFO | mensagem: waiting for response...
